Trace ID,Residence Time (sec)
Set 1
      T495,3.1064e-01
      T496,3.0876e-01
      T497,3.0727e-01
      T498,3.0621e-01
      T499,3.0487e-01
      T500,3.0406e-01
      T501,3.0260e-01
      T502,3.0298e-01
      T503,3.0414e-01
      T504,3.0609e-01
      T505,3.0925e-01
      T506,3.1219e-01
      T507,3.1722e-01
      T508,3.2295e-01
      T509,3.3711e-01
      T510,3.5015e-01
      T511,3.4759e-01
      T512,3.3203e-01
      T513,3.2549e-01
      T514,3.2152e-01
      T515,3.1554e-01
      T516,3.1190e-01
      T517,3.0913e-01
      T518,3.0939e-01
      T519,3.0815e-01
      T520,3.0754e-01
      T521,3.0763e-01
      T522,3.0783e-01
      T523,3.0774e-01
      T524,3.0791e-01
      T525,3.0742e-01
      T526,3.0631e-01
      T527,3.0598e-01
      T528,3.0515e-01
      T529,3.0371e-01
      T530,3.0296e-01
      T531,3.0235e-01
      T532,3.0349e-01
      T533,3.0437e-01
      T534,3.0527e-01
      T535,3.0898e-01
      T536,3.1265e-01
      T537,3.2019e-01
      T538,3.2341e-01
      T539,3.3427e-01
      T540,3.4915e-01
      T541,3.4943e-01
      T542,3.3610e-01
      T543,3.2737e-01
      T544,3.2115e-01
      T545,3.1544e-01
      T546,3.1285e-01
      T547,3.0942e-01
      T548,3.0881e-01
      T549,3.0739e-01
      T550,3.0635e-01
      T551,3.0585e-01
      T552,3.0571e-01
      T553,3.0590e-01
      T554,3.0607e-01
      T555,3.0524e-01
      T556,3.0507e-01
      T557,3.0380e-01
      T558,3.0350e-01
      T559,3.0278e-01
      T560,3.0278e-01
      T561,3.0252e-01
      T562,3.0350e-01
      T563,3.0418e-01
      T564,3.0691e-01
      T565,3.0973e-01
      T566,3.1253e-01
      T567,3.2092e-01
      T568,3.2508e-01
      T569,3.3735e-01
      T570,3.5106e-01
